ID_PARAMETRIZACION_DET;ID_PARAMETRIZACION_MAE;COD_AGRUPACION;COD_CIA;COD_SECC;COD_PRODUCTO;COD_COB ;NOMBRE COBERTURA;COD_CAUSA;CAUSA;COD_CONS;CONSECUENCIA;EXPEDIENTE;EXPEDIENTE_1;CONCEPTO RESERVA;CONC RESERVA;NOMBRE DATO VARIABLE SIMON;VALOR RESERVA;VR RESERVA;VALOR_FIJO;DESCRIPCION TIPO RESERVA
1;1;1;3;923;923;205;DANOS E NATURALES CE;6;FENOMENOS DE LA NATURALEZA;18;PERDIDAS Y DANOS;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. TODO RIESGO CONTENIDO;749;RA_VR_RESERVA_4;0;VALOR RESERVA 4 DADO EN EL SINIESTRO
2;1;1;3;923;923;739;TODORIESGO MOVILES INM;6;FENOMENOS DE LA NATURALEZA;19;P Y D APARATOS ELECTRICOS;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
3;1;1;3;923;923;205;DANOS E NATURALES CE;6;FENOMENOS DE LA NATURALEZA;33;P Y D  EQUIPO ELECTRONICO;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
4;1;1;3;923;923;205;DANOS E NATURALES CE;6;FENOMENOS DE LA NATURALEZA;74;P Y D CONTENIDO NO ELECTRICO;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. CONT NO ELECT;733;RA_VR_RESERVA_2;0;VALOR RESERVA 2 DADO EN EL SINIESTRO
5;1;1;3;923;923;205;DANOS E NATURALES CE;6;FENOMENOS DE LA NATURALEZA;8;DANOS A BIEN PRIVADO;GSO;GASTOS SINIESTROS;74;SUSTRACCION SIN VIOLENCIA;;889;RA_VR_FIJO_GSO_ 120000;120000;valor fijo 120.000
6;1;1;3;923;923;205;DANOS E NATURALES CE;6;FENOMENOS DE LA NATURALEZA;18;PERDIDAS Y DANOS;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. TODO RIESGO CONTENIDO;749;RA_VR_RESERVA_4;0;VALOR RESERVA 4 DADO EN EL SINIESTRO
7;1;1;3;923;923;204;DANOS E NATURALES INM;6;FENOMENOS DE LA NATURALEZA;18;PERDIDAS Y DANOS;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. TODO RIESGO CONTENIDO;749;RA_VR_RESERVA_4;0;VALOR RESERVA 4 DADO EN EL SINIESTRO
8;1;1;3;923;923;206;DANOS E NATURALES CNE;6;FENOMENOS DE LA NATURALEZA;19;P Y D APARATOS ELECTRICOS;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
9;1;1;3;923;923;206;DANOS E NATURALES CNE;6;FENOMENOS DE LA NATURALEZA;19;P Y D APARATOS ELECTRICOS;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
10;1;1;3;923;923;635;DANOS ELECTRICOS CE;9;HURTO CALIFICADO;33;P Y D  EQUIPO ELECTRONICO;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
11;1;1;3;923;923;739;TODORIESGO MOVILES INM;9;HURTO CALIFICADO;33;P Y D  EQUIPO ELECTRONICO;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
12;1;1;3;923;923;703;HURTO VIOLENCIA CE;9;HURTO CALIFICADO;34;DANOS A EDIFICIO;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. EDIFICIO;611;RA_VR_RESERVA;0;VALOR RESERVA DADO EN EL SINIESTRO
13;1;1;3;923;923;703;HURTO VIOLENCIA CE;9;HURTO CALIFICADO;74;P Y D CONTENIDO NO ELECTRICO;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT NO ELECT;733;RA_VR_RESERVA_2;0;VALOR RESERVA 2 DADO EN EL SINIESTRO
